Run: 3, epoch: 14, HR@5: 0.0573, HR@10: 0.0892, HR@15: 0.1146, HR@20: 0.1592, NDCG@5: 0.0511, NDCG@10: 0.0613, NDCG@15: 0.0681, NDCG@20: 0.0786, AUC: 0.5240, train loss: 0.1698, eval loss: 0.1699 
Run: 3, epoch: 15, HR@5: 0.0510, HR@10: 0.0828, HR@15: 0.1338, HR@20: 0.1592, NDCG@5: 0.0446, NDCG@10: 0.0543, NDCG@15: 0.0676, NDCG@20: 0.0736, AUC: 0.5174, train loss: 0.1604, eval loss: 0.1390 
Run: 3, epoch: 16, HR@5: 0.0573, HR@10: 0.0828, HR@15: 0.1274, HR@20: 0.1592, NDCG@5: 0.0486, NDCG@10: 0.0572, NDCG@15: 0.0687, NDCG@20: 0.0761, AUC: 0.5133, train loss: 0.1440, eval loss: 0.1139 
Run: 3, epoch: 17, HR@5: 0.0637, HR@10: 0.1019, HR@15: 0.1592, HR@20: 0.2038, NDCG@5: 0.0447, NDCG@10: 0.0564, NDCG@15: 0.0718, NDCG@20: 0.0823, AUC: 0.5155, train loss: 0.1315, eval loss: 0.0903 
Run: 3, epoch: 18, HR@5: 0.0764, HR@10: 0.1083, HR@15: 0.1401, HR@20: 0.1975, NDCG@5: 0.0506, NDCG@10: 0.0607, NDCG@15: 0.0691, NDCG@20: 0.0825, AUC: 0.5127, train loss: 0.1176, eval loss: 0.0806 
Run: 3, epoch: 19, HR@5: 0.0892, HR@10: 0.1210, HR@15: 0.1656, HR@20: 0.2038, NDCG@5: 0.0596, NDCG@10: 0.0700, NDCG@15: 0.0817, NDCG@20: 0.0908, AUC: 0.5175, train loss: 0.1064, eval loss: 0.0695 
Run: 3, epoch: 20, HR@5: 0.0701, HR@10: 0.1019, HR@15: 0.1656, HR@20: 0.2102, NDCG@5: 0.0458, NDCG@10: 0.0565, NDCG@15: 0.0732, NDCG@20: 0.0838, AUC: 0.5190, train loss: 0.0940, eval loss: 0.0659 
Run: 3, epoch: 21, HR@5: 0.0701, HR@10: 0.1338, HR@15: 0.1656, HR@20: 0.2229, NDCG@5: 0.0497, NDCG@10: 0.0698, NDCG@15: 0.0780, NDCG@20: 0.0915, AUC: 0.5207, train loss: 0.0823, eval loss: 0.0602 
Run: 3, epoch: 22, HR@5: 0.0828, HR@10: 0.1274, HR@15: 0.1911, HR@20: 0.2293, NDCG@5: 0.0564, NDCG@10: 0.0706, NDCG@15: 0.0872, NDCG@20: 0.0962, AUC: 0.5285, train loss: 0.0725, eval loss: 0.0558 
Run: 3, epoch: 23, HR@5: 0.0764, HR@10: 0.1338, HR@15: 0.1911, HR@20: 0.2293, NDCG@5: 0.0554, NDCG@10: 0.0741, NDCG@15: 0.0894, NDCG@20: 0.0983, AUC: 0.5297, train loss: 0.0653, eval loss: 0.0522 
Run: 3, epoch: 24, HR@5: 0.0701, HR@10: 0.1338, HR@15: 0.2038, HR@20: 0.2484, NDCG@5: 0.0419, NDCG@10: 0.0623, NDCG@15: 0.0807, NDCG@20: 0.0913, AUC: 0.5297, train loss: 0.0576, eval loss: 0.0479 
Run: 3, epoch: 25, HR@5: 0.0892, HR@10: 0.1401, HR@15: 0.2102, HR@20: 0.2229, NDCG@5: 0.0505, NDCG@10: 0.0670, NDCG@15: 0.0857, NDCG@20: 0.0886, AUC: 0.5342, train loss: 0.0518, eval loss: 0.0448 
Run: 3, epoch: 26, HR@5: 0.0510, HR@10: 0.1465, HR@15: 0.2229, HR@20: 0.2548, NDCG@5: 0.0376, NDCG@10: 0.0693, NDCG@15: 0.0898, NDCG@20: 0.0972, AUC: 0.5415, train loss: 0.0427, eval loss: 0.0410 
