Run: 3, epoch: 17, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 18, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 19, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 20, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 21, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 22, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 23, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 24, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 25, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 26, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 27, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 28, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 29, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 30, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, Duration: 2609.5171, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg_train_loss: nan, cf_train_loss: nan, cf_eval_loss: nan 
